currencyinfo,timeinfo,insertime
1 USD = 68.7161 INR,2018-07-02 16:03 UTC,2018-07-02 21:35
1 USD = 68.7307 INR,2018-07-02 16:14 UTC,2018-07-02 21:45
1 USD = 68.7367 INR,2018-07-02 16:24 UTC,2018-07-02 21:55
1 USD = 68.7289 INR,2018-07-02 16:34 UTC,2018-07-02 22:05
